TIME,,CH1,,CH2,,CH3,,CH4,,CH5,
-0.000000007920,-7920.000000000000,0.119375000000,119375.000000000000,-0.413750000000,-413750.000000000000,9.038281250000,9038281.250000000000,5.150312500000,5150312.500000000000,2.845937500000,2845937.500000000000
-0.000000007840,-7840.000000000000,0.116875000000,116875.000000000000,-0.417500000000,-417500.000000000000,9.089062500000,9089062.500000000000,5.145937500000,5145937.500000000000,2.790625000000,2790625.000000000000
-0.000000007760,-7760.000000000000,0.113750000000,113750.000000000000,-0.407500000000,-407500.000000000000,9.140625000000,9140625.000000000000,5.152500000000,5152500.000000000000,2.734375000000,2734375.000000000000
-0.000000007680,-7680.000000000000,0.117187500000,117187.500000000000,-0.390937500000,-390937.500000000000,9.196093750000,9196093.750000000000,5.158750000000,5158750.000000000000,2.690312500000,2690312.500000000000
-0.000000007600,-7600.000000000000,0.111250000000,111250.000000000000,-0.364375000000,-364375.000000000000,9.233593750000,9233593.750000000000,5.170625000000,5170625.000000000000,2.645625000000,2645625.000000000000
-0.000000007520,-7520.000000000000,0.101250000000,101250.000000000000,-0.338750000000,-338750.000000000000,9.253906250000,9253906.250000000000,5.177187500000,5177187.500000000000,2.610937500000,2610937.500000000000
-0.000000007440,-7440.000000000000,0.074375000000,74375.000000000000,-0.311562500000,-311562.500000000000,9.239843750000,9239843.750000000000,5.186250000000,5186250.000000000000,2.571562500000,2571562.500000000000
-0.000000007360,-7360.000000000000,0.044062500000,44062.500000000000,-0.295000000000,-295000.000000000000,9.204687500000,9204687.500000000000,5.185625000000,5185625.000000000000,2.540312500000,2540312.500000000000
-0.000000007280,-7280.000000000000,0.007500000000,7500.000000000000,-0.284375000000,-284375.000000000000,9.144531250000,9144531.250000000000,5.184062500000,5184062.500000000000,2.505312500000,2505312.500000000000
-0.000000007200,-7200.000000000000,-0.017500000000,-17500.000000000000,-0.285312500000,-285312.500000000000,9.080468750000,9080468.750000000000,5.174062500000,5174062.500000000000,2.478125000000,2478125.000000000000
-0.000000007120,-7120.000000000000,-0.034687500000,-34687.500000000000,-0.287812500000,-287812.500000000000,9.014062500000,9014062.500000000000,5.167812500000,5167812.500000000000,2.444062500000,2444062.500000000000
-0.000000007040,-7040.000000000000,-0.028125000000,-28125.000000000000,-0.294062500000,-294062.500000000000,8.970312500000,8970312.500000000000,5.158125000000,5158125.000000000000,2.417500000000,2417500.000000000000
-0.000000006960,-6960.000000000000,-0.007812500000,-7812.500000000000,-0.295000000000,-295000.000000000000,8.948437500000,8948437.500000000000,5.156562500000,5156562.500000000000,2.386562500000,2386562.500000000000
-0.000000006880,-6880.000000000000,0.029687500000,29687.500000000000,-0.294062500000,-294062.500000000000,8.961718750000,8961718.750000000000,5.156250000000,5156250.000000000000,2.363750000000,2363750.000000000000
-0.000000006800,-6800.000000000000,0.064687500000,64687.500000000000,-0.285000000000,-285000.000000000000,8.993750000000,8993750.000000000000,5.167187500000,5167187.500000000000,2.335000000000,2335000.000000000000
-0.000000006720,-6720.000000000000,0.098750000000,98750.000000000000,-0.277812500000,-277812.500000000000,9.046093750000,9046093.750000000000,5.178750000000,5178750.000000000000,2.315937500000,2315937.500000000000
-0.000000006640,-6640.000000000000,0.114687500000,114687.500000000000,-0.270312500000,-270312.500000000000,9.095312500000,9095312.500000000000,5.197500000000,5197500.000000000000,2.297187500000,2297187.500000000000
-0.000000006560,-6560.000000000000,0.119687500000,119687.500000000000,-0.271875000000,-271875.000000000000,9.137500000000,9137500.000000000000,5.212187500000,5212187.500000000000,2.292812500000,2292812.500000000000
-0.000000006480,-6480.000000000000,0.104687500000,104687.500000000000,-0.277500000000,-277500.000000000000,9.150781250000,9150781.250000000000,5.230937500000,5230937.500000000000,2.290312500000,2290312.500000000000
-0.000000006400,-6400.000000000000,0.086562500000,86562.500000000000,-0.293437500000,-293437.500000000000,9.142968750000,9142968.750000000000,5.241250000000,5241250.000000000000,2.305000000000,2305000.000000000000
