TIME,,CH1,,CH2,,CH3,,CH4,,CH5,,CH6,
-0.000000007970,-7970.000000000000,-0.087812500000,-87812.500000000000,-0.117187500000,-117187.500000000000,9.550000000000,9550000.000000000000,5.228437500000,5228437.500000000000,0.965937500000,965937.500000000000,1.342031250000,1342031.250000000000
-0.000000007890,-7890.000000000000,-0.092500000000,-92500.000000000000,-0.123437500000,-123437.500000000000,9.581250000000,9581250.000000000000,5.220000000000,5220000.000000000000,0.960781250000,960781.250000000000,1.330781250000,1330781.250000000000
-0.000000007810,-7810.000000000000,-0.065312500000,-65312.500000000000,-0.135937500000,-135937.500000000000,9.608593750000,9608593.750000000000,5.207812500000,5207812.500000000000,0.966562500000,966562.500000000000,1.321250000000,1321250.000000000000
-0.000000007730,-7730.000000000000,-0.015937500000,-15937.500000000000,-0.148437500000,-148437.500000000000,9.611718750000,9611718.750000000000,5.202187500000,5202187.500000000000,0.974375000000,974375.000000000000,1.308125000000,1308125.000000000000
-0.000000007650,-7650.000000000000,0.057187500000,57187.500000000000,-0.163750000000,-163750.000000000000,9.597656250000,9597656.250000000000,5.194375000000,5194375.000000000000,0.988906250000,988906.250000000000,1.302187500000,1302187.500000000000
-0.000000007570,-7570.000000000000,0.129375000000,129375.000000000000,-0.170937500000,-170937.500000000000,9.555468750000,9555468.750000000000,5.195937500000,5195937.500000000000,0.998281250000,998281.250000000000,1.296875000000,1296875.000000000000
-0.000000007490,-7490.000000000000,0.196875000000,196875.000000000000,-0.170937500000,-170937.500000000000,9.509375000000,9509375.000000000000,5.196562500000,5196562.500000000000,1.007656250000,1007656.250000000000,1.303437500000,1303437.500000000000
-0.000000007410,-7410.000000000000,0.235625000000,235625.000000000000,-0.154687500000,-154687.500000000000,9.459375000000,9459375.000000000000,5.205312500000,5205312.500000000000,1.007500000000,1007500.000000000000,1.313906250000,1313906.250000000000
-0.000000007330,-7330.000000000000,0.246875000000,246875.000000000000,-0.126562500000,-126562.500000000000,9.428906250000,9428906.250000000000,5.213437500000,5213437.500000000000,1.003750000000,1003750.000000000000,1.334843750000,1334843.750000000000
-0.000000007250,-7250.000000000000,0.219687500000,219687.500000000000,-0.082500000000,-82500.000000000000,9.412500000000,9412500.000000000000,5.230000000000,5230000.000000000000,0.988437500000,988437.500000000000,1.354218750000,1354218.750000000000
