TIME,,CH3,,CH4,,CH5,,CH6,,CH7,,CH8,
-0.000000099945,-99945.000000000000,4.900000000000,4900000.000000000000,1.440000000000,1440000.000000000000,1.040000000000,1040000.000000000000,1.640000000000,1640000.000000000000,-0.160000000000,-160000.000000000000,9.400000000000,9400000
-0.000000099785,-99785.000000000000,5.500000000000,5500000.000000000000,1.520000000000,1520000.000000000000,1.000000000000,1000000.000000000000,1.880000000000,1880000.000000000000,-0.400000000000,-400000.000000000000,10.600000000000,10600000
-0.000000099625,-99625.000000000000,5.100000000000,5100000.000000000000,1.520000000000,1520000.000000000000,0.960000000000,960000.000000000000,1.880000000000,1880000.000000000000,-0.240000000000,-240000.000000000000,11.400000000000,11400000
-0.000000099465,-99465.000000000000,3.900000000000,3900000.000000000000,1.480000000000,1480000.000000000000,0.960000000000,960000.000000000000,1.880000000000,1880000.000000000000,0.160000000000,160000.000000000000,11.000000000000,11000000
-0.000000099305,-99305.000000000000,3.100000000000,3100000.000000000000,1.400000000000,1400000.000000000000,0.920000000000,920000.000000000000,2.040000000000,2040000.000000000000,0.480000000000,480000.000000000000,10.000000000000,10000000
-0.000000099145,-99145.000000000000,3.300000000000,3300000.000000000000,1.400000000000,1400000.000000000000,0.840000000000,840000.000000000000,2.440000000000,2440000.000000000000,0.400000000000,400000.000000000000,9.000000000000,9000000
-0.000000098985,-98985.000000000000,3.900000000000,3900000.000000000000,1.480000000000,1480000.000000000000,0.880000000000,880000.000000000000,2.920000000000,2920000.000000000000,0.160000000000,160000.000000000000,9.000000000000,9000000
-0.000000098825,-98825.000000000000,4.300000000000,4300000.000000000000,1.520000000000,1520000.000000000000,1.000000000000,1000000.000000000000,3.240000000000,3240000.000000000000,-0.160000000000,-160000.000000000000,9.400000000000,9400000
-0.000000098665,-98665.000000000000,4.500000000000,4500000.000000000000,1.480000000000,1480000.000000000000,1.120000000000,1120000.000000000000,3.400000000000,3400000.000000000000,-0.240000000000,-240000.000000000000,10.400000000000,10400000
-0.000000098505,-98505.000000000000,4.300000000000,4300000.000000000000,1.320000000000,1320000.000000000000,1.200000000000,1200000.000000000000,3.720000000000,3720000.000000000000,-0.160000000000,-160000.000000000000,11.000000000000,11000000
-0.000000098345,-98345.000000000000,3.900000000000,3900000.000000000000,1.160000000000,1160000.000000000000,1.200000000000,1200000.000000000000,3.960000000000,3960000.000000000000,-0.080000000000,-80000.000000000000,10.600000000000,10600000
-0.000000098185,-98185.000000000000,3.700000000000,3700000.000000000000,1.080000000000,1080000.000000000000,1.200000000000,1200000.000000000000,4.200000000000,4200000.000000000000,0.000000000000,0.000000000000,10.000000000000,10000000
-0.000000098025,-98025.000000000000,4.100000000000,4100000.000000000000,1.040000000000,1040000.000000000000,1.160000000000,1160000.000000000000,4.520000000000,4520000.000000000000,-0.080000000000,-80000.000000000000,9.800000000000,9800000
-0.000000097865,-97865.000000000000,4.500000000000,4500000.000000000000,1.040000000000,1040000.000000000000,1.120000000000,1120000.000000000000,4.680000000000,4680000.000000000000,-0.240000000000,-240000.000000000000,10.000000000000,10000000
-0.000000097705,-97705.000000000000,4.500000000000,4500000.000000000000,1.040000000000,1040000.000000000000,1.160000000000,1160000.000000000000,4.680000000000,4680000.000000000000,-0.400000000000,-400000.000000000000,10.600000000000,10600000
-0.000000097545,-97545.000000000000,4.300000000000,4300000.000000000000,1.080000000000,1080000.000000000000,1.280000000000,1280000.000000000000,4.600000000000,4600000.000000000000,-0.240000000000,-240000.000000000000,11.000000000000,11000000
-0.000000097385,-97385.000000000000,4.100000000000,4100000.000000000000,1.040000000000,1040000.000000000000,1.400000000000,1400000.000000000000,4.520000000000,4520000.000000000000,0.000000000000,0.000000000000,10.600000000000,10600000
-0.000000097225,-97225.000000000000,3.900000000000,3900000.000000000000,1.000000000000,1000000.000000000000,1.400000000000,1400000.000000000000,4.680000000000,4680000.000000000000,0.240000000000,240000.000000000000,10.000000000000,10000000
-0.000000097065,-97065.000000000000,3.900000000000,3900000.000000000000,1.000000000000,1000000.000000000000,1.320000000000,1320000.000000000000,4.920000000000,4920000.000000000000,0.320000000000,320000.000000000000,9.600000000000,9600000
-0.000000096905,-96905.000000000000,3.900000000000,3900000.000000000000,1.040000000000,1040000.000000000000,1.240000000000,1240000.000000000000,4.920000000000,4920000.000000000000,0.320000000000,320000.000000000000,9.200000000000,9200000
-0.000000096745,-96745.000000000000,3.900000000000,3900000.000000000000,1.120000000000,1120000.000000000000,1.240000000000,1240000.000000000000,4.760000000000,4760000.000000000000,0.160000000000,160000.000000000000,9.400000000000,9400000
-0.000000096585,-96585.000000000000,4.100000000000,4100000.000000000000,1.160000000000,1160000.000000000000,1.240000000000,1240000.000000000000,4.760000000000,4760000.000000000000,-0.160000000000,-160000.000000000000,9.800000000000,9800000
-0.000000096425,-96425.000000000000,4.100000000000,4100000.000000000000,1.200000000000,1200000.000000000000,1.280000000000,1280000.000000000000,4.760000000000,4760000.000000000000,-0.480000000000,-480000.000000000000,10.200000000000,10200000
-0.000000096265,-96265.000000000000,3.700000000000,3700000.000000000000,1.200000000000,1200000.000000000000,1.280000000000,1280000.000000000000,4.920000000000,4920000.000000000000,-0.480000000000,-480000.000000000000,10.200000000000,10200000
-0.000000096105,-96105.000000000000,3.500000000000,3500000.000000000000,1.160000000000,1160000.000000000000,1.280000000000,1280000.000000000000,5.080000000000,5080000.000000000000,-0.400000000000,-400000.000000000000,10.000000000000,10000000
